id,name,molecular_weight,synonyms,formula,cas_number,chebi_id,pubchem_compound_id,created_at,updated_at
743,4'-O-Methylcyanidin 3-O-D-glucoside,463.411,"",C22H23O11,"","","",2010-11-10 00:00:00 UTC,2015-05-10 23:29:00 UTC
758,4'-O-Methyldelphinidin 3-O-rutinoside,625.552,"",C28H33O16,"","","",2011-05-02 10:31:17 UTC,2015-05-10 23:29:01 UTC
748,4-O-Methyldelphinidin 3-O-D-glucoside,479.411,"",C22H23O12,"","","",2010-11-10 00:00:00 UTC,2015-05-10 23:29:01 UTC
19,Cyanidin,287.244,"3,5,7,3',4'-Pentahydroxyflavylium",C15H11O6,13306-05-3,27843,128861,2004-11-22 00:00:00 UTC,2015-05-10 23:28:37 UTC
71,"Cyanidin 3,5-O-diglucoside",611.525,"",C27H31O16,"","",441688,2005-04-26 00:00:00 UTC,2015-05-10 23:28:38 UTC
757,Cyanidin 3-O-(2-O-(6-O-(E)-caffeoyl-D glucoside)-D-glucoside)-5-O-D-glucoside,949.835,"",C43H49O24,"","","",2010-11-10 00:00:00 UTC,2015-05-10 23:29:01 UTC
745,"Cyanidin 3-O-(3'',6''-O-dimalonyl-glucoside)",621.477,"",C27H25O17,"","",23724697,2010-11-10 00:00:00 UTC,2015-05-10 23:29:01 UTC
13,Cyanidin 3-O-(6''-malonyl-glucoside),535.431,"",C24H23O14,"","",443915,2004-04-14 14:20:32 UTC,2015-05-10 23:28:36 UTC
32,Cyanidin 3-O-arabinoside,419.359,"",C20H19O10,"","","",2002-08-22 11:51:47 UTC,2015-05-10 23:28:37 UTC
735,Cyanidin 3-O-diglucoside-5-O-glucoside,773.666,"",C33H41O21,"","","",2011-04-17 13:47:42 UTC,2015-05-10 23:29:00 UTC
8,Cyanidin 3-O-galactoside,449.385,Ideain,C21H21O11,"",27475,441699,2002-08-22 11:51:47 UTC,2015-05-10 23:28:36 UTC
9,Cyanidin 3-O-glucoside,449.385,Kuromanin,C21H21O11,7084-24-4,28426,25244576,2002-09-20 16:19:06 UTC,2015-05-10 23:28:36 UTC
10,Cyanidin 3-O-rutinoside,595.526,Keracyanin ; Cyanidin 3-O-rhamnosyl-glucoside,C27H31O15,"",28064,441674,2002-09-20 16:19:39 UTC,2015-05-10 23:28:36 UTC
50,Cyanidin 3-O-sambubioside,616.952,Cyanidin 3-O-xylosyl-glucoside,C26H29ClO15,"","","",2005-01-28 11:35:21 UTC,2015-05-10 23:28:38 UTC
69,Cyanidin 3-O-sambubioside 5-O-glucoside,743.64,"",C32H39O20,"","","",2005-04-26 14:28:39 UTC,2015-05-10 23:28:38 UTC
11,Cyanidin 3-O-sophoroside,611.525,"",C27H31O16,"","",11169452,2002-09-20 16:20:08 UTC,2015-05-10 23:28:36 UTC
53,Cyanidin 3-O-xyloside,419.359,"",C20H19O10,"","","",2005-02-04 16:35:08 UTC,2015-05-10 23:28:38 UTC
62,Cyanidin 3-O-xylosyl-rutinoside,727.641,"",C32H39O19,"","","",2005-04-26 15:16:30 UTC,2015-05-10 23:28:38 UTC
