class,subclass,compound_name,compound_id
Flavonoids,Anthocyanins,Malvidin 3-O-(6''-p-coumaroyl-glucoside),3
Flavonoids,Anthocyanins,Delphinidin 3-O-(6''-acetyl-galactoside),5
Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-acetyl-galactoside),6
Flavonoids,Anthocyanins,Cyanidin 3-O-galactoside,8
Flavonoids,Anthocyanins,Cyanidin 3-O-glucoside,9
Flavonoids,Anthocyanins,Cyanidin 3-O-rutinoside,10
Flavonoids,Anthocyanins,Cyanidin 3-O-sophoroside,11
Flavonoids,Anthocyanins,Pelargonidin 3-O-glucoside,12
Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-malonyl-glucoside),13
Flavonoids,Anthocyanins,Peonidin,14
Flavonoids,Anthocyanins,Peonidin 3-O-glucoside,15
Flavonoids,Anthocyanins,Peonidin 3-O-rutinoside,16
Flavonoids,Anthocyanins,Pelargonidin 3-O-rutinoside,17
Flavonoids,Anthocyanins,Pelargonidin,18
Flavonoids,Anthocyanins,Cyanidin,19
Flavonoids,Anthocyanins,"Malvidin 3,5-O-diglucoside",20
Flavonoids,Anthocyanins,Cyanidin 3-O-glucosyl-rutinoside,21
Flavonoids,Anthocyanins,Pelargonidin 3-O-sophoroside,22
Flavonoids,Anthocyanins,Pelargonidin 3-O-glucosyl-rutinoside,23
Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-succinyl-glucoside),24
Flavonoids,Anthocyanins,Pelargonidin 3-O-(6''-succinyl-glucoside),25
Flavonoids,Anthocyanins,Delphinidin 3-O-galactoside,27
Flavonoids,Anthocyanins,Delphinidin 3-O-glucoside,28
Flavonoids,Anthocyanins,Delphinidin 3-O-arabinoside,29
Flavonoids,Anthocyanins,Petunidin 3-O-galactoside,31
Flavonoids,Anthocyanins,Cyanidin 3-O-arabinoside,32
Flavonoids,Anthocyanins,Petunidin 3-O-glucoside,33
Flavonoids,Anthocyanins,Peonidin 3-O-galactoside,34
Flavonoids,Anthocyanins,Petunidin 3-O-arabinoside,35
Flavonoids,Anthocyanins,Malvidin 3-O-glucoside,36
Flavonoids,Anthocyanins,Malvidin 3-O-arabinoside,37
Flavonoids,Anthocyanins,Delphinidin 3-O-(6''-acetyl-glucoside),39
Flavonoids,Anthocyanins,Petunidin 3-O-(6''-acetyl-galactoside),40
Flavonoids,Anthocyanins,Peonidin 3-O-(6''-acetyl-galactoside),41
Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-acetyl-glucoside),42
Flavonoids,Anthocyanins,Malvidin 3-O-(6''-acetyl-galactoside),43
Flavonoids,Anthocyanins,Petunidin 3-O-(6''-acetyl-glucoside),44
Flavonoids,Anthocyanins,Malvidin 3-O-(6''-acetyl-glucoside),46
